session,base_session,model,root_agent,root_generation,is_root_swarm_session,meta_created_utc,meta_updated_utc,meta_message_count,actual_message_count,assistant_messages_stream_count,first_assistant_utc,last_assistant_utc,usage_records,prompt_tokens_recorded,completion_tokens_recorded,cached_tokens_recorded,gen2_memory_says_no_inbound_citers,phase1_raw_inbound_events,parse_error
2dfa6af6-d8e,2dfa6af6-d8e,es1_orange_o50,agent-021,1,True,2026-08-01T16:21:35.986188Z,2026-08-02T20:44:09.680464Z,409,not_loaded_memory_safe,194,2026-08-01T16:22:10.853323Z,2026-08-02T20:41:06.019654Z,not_scanned,,,,False,105,False
2e7cd784-59a,2e7cd784-59a,gpt56_sol,agent-009,2,True,2026-08-02T08:56:04.471430Z,2026-08-02T20:43:04.378281Z,60,not_loaded_memory_safe,15,2026-08-02T08:59:56.376151Z,2026-08-02T20:36:51.365659Z,not_scanned,,,,False,76,False
2e937ad2-084,2e937ad2-084,es1_orange_o50,agent-024,2,True,2026-08-02T08:45:29.090218Z,2026-08-02T22:11:12.128385Z,35,not_loaded_memory_safe,32,2026-08-02T08:46:13.153556Z,2026-08-02T22:11:11.759148Z,not_scanned,,,,True,36,False
2faffe78-7e8,2faffe78-7e8,es1_orange_o50,agent-022,1,True,2026-08-01T16:21:36.365327Z,2026-08-02T20:43:12.911143Z,464,not_loaded_memory_safe,227,2026-08-01T16:22:10.428041Z,2026-08-02T20:36:58.713330Z,not_scanned,,,,False,117,False
32f412e9-764,32f412e9-764,seed-stable-reasoning,agent-030,2,True,2026-08-02T08:47:50.250556Z,2026-08-03T02:32:12.583467Z,163,not_loaded_memory_safe,65,2026-08-02T08:50:56.386707Z,2026-08-03T02:32:11.391240Z,not_scanned,,,,True,17,False
3613b0d6-c1a,3613b0d6-c1a,gpt56_sol_reasoning_high,agent-006,2,True,2026-08-02T08:22:05.919639Z,2026-08-02T20:42:58.304117Z,66,not_loaded_memory_safe,26,2026-08-02T08:22:54.488666Z,2026-08-02T20:37:12.850162Z,not_scanned,,,,True,53,False
36e6993a-7e2.archive.0,36e6993a-7e2,seed-stable-reasoning,agent-031,1,True,2026-08-01T20:08:57.516022Z,2026-08-01T20:08:57.516022Z,210,not_loaded_memory_safe,110,2026-08-01T16:22:21.029400Z,2026-08-01T20:07:38.714312Z,not_scanned,,,,False,15,False
36e6993a-7e2.archive.1,36e6993a-7e2,seed-stable-reasoning,agent-031,1,True,2026-08-01T22:22:31.734139Z,2026-08-01T22:22:31.734139Z,230,not_loaded_memory_safe,132,2026-08-01T16:27:36.972350Z,2026-08-01T22:21:06.228398Z,not_scanned,,,,False,,False
36e6993a-7e2,36e6993a-7e2,seed-stable-reasoning,agent-031,1,True,2026-08-01T16:21:58.637544Z,2026-08-02T20:45:33.673088Z,230,not_loaded_memory_safe,164,2026-08-01T16:27:36.972350Z,2026-08-02T20:41:07.226595Z,not_scanned,,,,False,,False
3783ab20-d36,3783ab20-d36,seed-stable-reasoning-high,agent-025,2,True,2026-08-02T08:45:47.197199Z,2026-08-02T23:43:53.376299Z,59,not_loaded_memory_safe,84,2026-08-02T08:47:00.069907Z,2026-08-02T23:43:52.056692Z,not_scanned,,,,True,9,False
