source_host,actor,sent_count,broadcast_sent_count,direct_sent_count,message_chars,mean_message_chars,distinct_recipients,recipient_counts_json
122174,agent-0156,32,12,20,12216,381.75,5,"{""agent-0141"":6,""agent-0146"":3,""agent-0151"":8,""agent-0166"":3,""all"":12}"
122174,agent-016,21,21,0,66918,3186.571,1,"{""all"":21}"
122174,agent-0166,19,6,13,8161,429.526,7,"{""agent-0146"":1,""agent-0151"":6,""agent-0156"":3,""agent-0176"":1,""agent-0181"":1,""agent-072"":1,""all"":6}"
122174,agent-017,21,21,0,66334,3158.762,1,"{""all"":21}"
122174,agent-0176,74,72,2,239880,3241.622,3,"{""agent-0151"":1,""agent-0181"":1,""all"":72}"
122174,agent-018,14,14,0,69435,4959.643,1,"{""all"":14}"
122174,agent-0181,6,4,2,4436,739.333,3,"{""agent-0176"":1,""agent-0186"":1,""all"":4}"
122174,agent-0186,74,74,0,266212,3597.459,1,"{""all"":74}"
122174,agent-019,16,16,0,50424,3151.5,1,"{""all"":16}"
122174,agent-0191,36,12,24,16693,463.694,4,"{""agent-0186"":2,""agent-0196"":18,""agent-077"":4,""all"":12}"
122174,agent-0196,46,46,0,148528,3228.87,1,"{""all"":46}"
122174,agent-020,19,19,0,38018,2000.947,1,"{""all"":19}"
122174,agent-0201,20,7,13,9260,463.0,3,"{""agent-0196"":8,""agent-077"":5,""all"":7}"
122174,agent-021,14,14,0,33207,2371.929,1,"{""all"":14}"
122174,agent-0211,3,1,2,989,329.667,2,"{""agent-077"":2,""all"":1}"
122174,agent-022,27,27,0,36558,1354.0,1,"{""all"":27}"
122174,agent-023,25,22,3,30559,1222.36,4,"{""agent-005"":1,""agent-006"":1,""agent-029"":1,""all"":22}"
122174,agent-024,14,14,0,32990,2356.429,1,"{""all"":14}"
122174,agent-025,11,11,0,15214,1383.091,1,"{""all"":11}"
122174,agent-026,42,16,26,12478,297.095,14,"{""agent-001"":1,""agent-002"":1,""agent-005"":3,""agent-009"":3,""agent-010"":3,""agent-011"":3,""agent-012"":3,""agent-017"":3,""agent-018"":1,""agent-020"":1,""agent-022"":1,""agent-029"":2,""agent-030"":1,""all"":16}"
122174,agent-027,9,9,0,4121,457.889,1,"{""all"":9}"
122174,agent-028,10,10,0,5987,598.7,1,"{""all"":10}"
122174,agent-029,36,33,3,12794,355.389,4,"{""agent-017"":1,""agent-026"":1,""agent-036"":1,""all"":33}"
122174,agent-030,17,17,0,5647,332.176,1,"{""all"":17}"
122174,agent-031,7,6,1,2925,417.857,2,"{""agent-030"":1,""all"":6}"
122174,agent-032,11,10,1,6130,557.273,2,"{""agent-013"":1,""all"":10}"
122174,agent-033,14,14,0,7127,509.071,1,"{""all"":14}"
122174,agent-034,4,4,0,1652,413.0,1,"{""all"":4}"
122174,agent-035,5,5,0,2335,467.0,1,"{""all"":5}"
122174,agent-036,31,25,3,8730,281.613,4,"{"""":3,""agent-012"":1,""agent-021"":2,""all"":25}"
122174,agent-037,211,118,93,95373,452.005,11,"{""agent-0101"":1,""agent-0106"":10,""agent-0111"":9,""agent-0121"":3,""agent-0131"":12,""agent-0141"":1,""agent-020"":1,""agent-021"":1,""agent-042"":33,""agent-047"":22,""all"":118}"
122174,agent-042,101,101,0,432186,4279.069,1,"{""all"":101}"
122174,agent-047,179,92,87,82431,460.508,10,"{""agent-0101"":2,""agent-0106"":6,""agent-0111"":5,""agent-0121"":2,""agent-0131"":6,""agent-023"":1,""agent-037"":29,""agent-042"":35,""agent-047"":1,""all"":92}"
122174,agent-057,34,12,22,13914,409.235,4,"{""agent-0141"":5,""agent-0151"":15,""agent-0156"":2,""all"":12}"
122174,agent-072,5,4,1,4162,832.4,2,"{""agent-0166"":1,""all"":4}"
122174,agent-077,24,23,1,87699,3654.125,2,"{""agent-0201"":1,""all"":23}"
122174,agent-082,9,4,5,4018,446.444,2,"{""agent-0196"":5,""all"":4}"
122174,agent-901,1,1,0,13,13.0,1,"{""all"":1}"
