host,pid,captured_utc,context_index,agent_id,client_class,model,history_field,history_count,system_count,user_count,assistant_count,tool_count,typed_item_count,direct_string_content_chars,history_sha256,history_sha256_recomputed,recovery_method,file_bytes,file_sha256,path
122175,135822,2026-08-03T17:06:51.179276+00:00,0,agent-0232,AnthropicAgent,es1_orange_o50,messages,383,0,193,190,0,0,14801,764789d2e20a6c90a586ccb4e49cccdaa88ba2ef4bf5b79fd9a6dcb1e35451ce,764789d2e20a6c90a586ccb4e49cccdaa88ba2ef4bf5b79fd9a6dcb1e35451ce,live_process_sanitized_export,1162988,dd049770cc7f81fe3cdeda2e67f2b519e2786a8e35dd4b0f32da4bcc3c3192e9,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_135822.json
122175,138213,2026-08-03T17:06:55.985392+00:00,0,agent-083,AzureResponsesAgent,gpt-5.6-sol,input_items,541,0,95,93,0,446,105907,456013f192e19ff83035428a16c3b17642da592faa6910692c204d3e0fb27043,456013f192e19ff83035428a16c3b17642da592faa6910692c204d3e0fb27043,live_process_sanitized_export,526983,94f2412e9c7d5c866f22f9dda57cf22d47ecda73055f1f352f650fa988b9cf25,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_138213.json
122175,138229,2026-08-03T17:07:00.483059+00:00,0,agent-0237,AzureResponsesAgent,gpt-5.6-sol,input_items,542,0,153,152,0,389,170426,08414fe4011aefa3ce6f11ec3edcba0f8889be14bc1d3e6d9bc1da87aa99fb61,08414fe4011aefa3ce6f11ec3edcba0f8889be14bc1d3e6d9bc1da87aa99fb61,live_process_sanitized_export,549388,457c79ed534b96d3436aa32387b4362f002dc4d02218dfe2c930254c5258c874,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_138229.json
122175,93356,2026-08-03T14:32:38.806107+00:00,0,agent-0172,OpenAIAgent,ep-20260702161005-jcdtr,messages,354,1,161,85,107,0,641366,bc4bd5fbae07f91bdc7ecd97c36b7f0b26fb60e3c372f0890f7beedc32a8420b,bc4bd5fbae07f91bdc7ecd97c36b7f0b26fb60e3c372f0890f7beedc32a8420b,live_process_sanitized_export,1082088,8cbb7c90faaa9a9f8f45a669672ccb7e0e5ff890811e5b10c80d2f721b04e5fb,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_93356.json
122175,95245,2026-08-03T14:32:39.297095+00:00,0,agent-063,OpenAIAgent,ep-20260702161005-jcdtr,messages,508,1,158,171,178,0,557784,ed823da8e48c58d7b2981f04e462c744f12a935e258857c4bd78ed75114cd227,ed823da8e48c58d7b2981f04e462c744f12a935e258857c4bd78ed75114cd227,live_process_sanitized_export,1076249,76137f670908adabac6ad3838a7886c04869e5f85f5789090bb346cbc6f3abb5,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_95245.json
122175,96725,2026-08-03T14:32:39.795757+00:00,0,agent-063,OpenAIAgent,ep-20260702161005-jcdtr,messages,459,1,143,144,171,0,496478,0bf75f7d5aa9d5983890ab6e5bbbb72e52acf7610150146532af3867fe2332be,0bf75f7d5aa9d5983890ab6e5bbbb72e52acf7610150146532af3867fe2332be,live_process_sanitized_export,1147327,f50fe924f7e590f466f8078e8e4ad09e884b4ed646675cc4744972211637fe13,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_96725.json
122448,34228,2026-08-03T14:33:26.129245+00:00,0,agent-0189,OpenAIAgent,ep-20260702161005-jcdtr,messages,192,1,191,0,0,0,215764,f72200f50cb220ec228f61e66d8a97e877d5dc65a4dbe83880842c1e0c0b980e,f72200f50cb220ec228f61e66d8a97e877d5dc65a4dbe83880842c1e0c0b980e,live_process_sanitized_export,230844,7e5f04264d43f46769e8cc768d87190d9e0442d29ce65d911dd11746725a0fe6,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122448/pid_34228.json
122448,35167,2026-08-03T14:33:26.398491+00:00,0,agent-070,OpenAIAgent,ep-20260702161005-jcdtr,messages,179,1,178,0,0,0,201178,5f47bbe300e8efd3c34b3196c269af8eefc79b7007de9af5cc180ad6e8a5a675,5f47bbe300e8efd3c34b3196c269af8eefc79b7007de9af5cc180ad6e8a5a675,live_process_sanitized_export,215452,9eb6a62252d92b13620e8e80c8677ebda2fb63405b7c6c3e657d7c39805a227c,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122448/pid_35167.json
122448,43386,2026-08-03T14:33:26.691875+00:00,0,agent-0199,OpenAIAgent,ep-20260702161005-jcdtr,messages,376,1,135,128,112,0,608405,87ac90f991bb5b3a9c67d16fdcf7b08c36e57f46956c40c244a23a9429374e04,87ac90f991bb5b3a9c67d16fdcf7b08c36e57f46956c40c244a23a9429374e04,live_process_sanitized_export,952898,e112fe863dd1702b96ad2d1ae991152345d235dc73e479507f9c8496d6cde3e4,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122448/pid_43386.json
122448,44114,2026-08-03T14:33:26.985496+00:00,0,agent-0204,AnthropicAgent,es1_orange_o50,messages,1283,0,647,636,0,0,130910,04d095120c4ff65ee772004e8d0796d6ea6b77ab9ab48ada0d4fe39c5e77c31d,04d095120c4ff65ee772004e8d0796d6ea6b77ab9ab48ada0d4fe39c5e77c31d,live_process_sanitized_export,2710882,018b3c15682ebf6597914e65e251d7b7b9021d3dd032fbf560c21bf0b3f5e2a9,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122448/pid_44114.json
122448,45967,2026-08-03T17:47:56.578875+00:00,0,agent-0209,AzureResponsesAgent,gpt-5.6-sol,input_items,984,0,195,193,0,789,218745,e81aeb7130f77413863d4bb8d1a83a6d763875dfe9e5105f05b8974de4920ffb,e81aeb7130f77413863d4bb8d1a83a6d763875dfe9e5105f05b8974de4920ffb,read_only_cpython311_heap_decode,1014486,5bdfe91a345a3e0b2caa403c55300aa794e55e1d1cde7269054c5397a4a5bb36,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122448/pid_45967_offline.json
122448,46854,2026-08-03T14:33:27.365295+00:00,0,agent-0214,AnthropicAgent,es1_orange_o50,messages,976,0,493,483,0,0,179284,d27fa7570dd8f31ad3372cb644afaba0a4eca5f82fed538e5037487c9944b37f,d27fa7570dd8f31ad3372cb644afaba0a4eca5f82fed538e5037487c9944b37f,live_process_sanitized_export,2177369,e58c71b4a0435ae8946b1bace87b7ddeb01c395d3595e0f8c11cd7d2a8fe1d8a,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122448/pid_46854.json
